Date,CPU Utilization,CPU Power
2024-11-26 14:40:43,0.25126,3.06828
2024-11-26 14:40:44,0.25000,3.19638
2024-11-26 14:40:45,0.24750,3.14130
2024-11-26 14:40:46,0.25000,3.19638
2024-11-26 14:40:47,0.25250,3.20476
2024-11-26 14:40:48,0.24874,3.16811
2024-11-26 14:40:49,0.24750,3.16442
2024-11-26 14:40:50,0.25250,3.20476
2024-11-26 14:40:51,0.25253,3.18066
2024-11-26 14:40:52,0.25000,3.19638
2024-11-26 14:40:53,0.25126,3.20011
2024-11-26 14:40:54,0.24876,3.14645
2024-11-26 14:40:55,0.25126,3.20011
2024-11-26 14:40:56,0.25377,3.23211
2024-11-26 14:40:57,0.25000,3.15022
2024-11-26 14:40:58,0.25000,3.15022
2024-11-26 14:40:59,0.25000,3.22030
2024-11-26 14:41:00,0.25000,3.17303
2024-11-26 14:41:01,0.24750,3.11872
2024-11-26 14:41:02,0.25126,3.20011
2024-11-26 14:41:03,0.25124,3.05020
2024-11-26 14:41:04,0.25000,3.12795
2024-11-26 14:41:05,0.25253,3.18066
2024-11-26 14:41:06,0.25381,3.01780
2024-11-26 14:41:07,0.25377,3.20858
