Date,CPU Utilization,CPU Power
2024-11-26 19:08:38,0.2525,3.18172
2024-11-26 19:08:39,0.2475,3.18809
2024-11-26 19:08:40,0.2475,3.1413
2024-11-26 19:08:41,0.24752,3.14274
2024-11-26 19:08:42,0.2525,3.22835
2024-11-26 19:08:43,0.25126,3.22397
2024-11-26 19:08:44,0.24876,3.08101
2024-11-26 19:08:45,0.25,3.17303
2024-11-26 19:08:46,0.25126,3.20011
2024-11-26 19:08:47,0.25,3.15022
2024-11-26 19:08:48,0.25126,3.20011
2024-11-26 19:08:49,0.25,3.02413
2024-11-26 19:08:50,0.25126,3.17681
2024-11-26 19:08:51,0.25126,3.22397
2024-11-26 19:08:52,0.24876,3.14645
2024-11-26 19:08:53,0.25126,3.22397
2024-11-26 19:08:54,0.2525,3.20476
