cpu_usage,memory_usage
100.0,0.3
100.0,0.5
100.0,0.6
100.0,0.8
100.0,1.0
100.0,1.1
100.0,1.3
100.0,1.5
100.0,1.6
99.9,1.8
100.0,1.9
99.9,2.1
100.0,2.3
99.9,2.4
100.0,2.6
100.0,2.8
100.0,2.9
100.0,3.1
100.0,3.3
100.0,3.5
100.0,3.6
99.9,3.7
100.0,3.9
100.0,4.1
99.9,4.3
99.9,4.4
100.0,4.5
99.9,4.7
99.9,4.9
100.0,5.1
100.0,5.3
100.0,5.5
99.9,5.5
100.0,5.6
100.0,5.9
100.0,6.1
99.9,6.3
100.0,6.6
99.9,6.8
99.9,7.1
100.0,7.3
100.0,7.6
100.0,7.8
100.0,7.8
100.0,7.8
100.0,7.8
100.0,7.8
100.0,7.8
99.9,7.8
99.9,4.0
