cpu_usage,memory_usage
96.1,0.2
84.9,0.2
89.4,0.2
91.8,0.2
93.2,0.2
94.2,0.2
94.9,0.2
95.3,0.2
95.6,0.2
95.9,0.2
95.7,0.2
95.9,0.2
96.0,0.2
96.3,0.2
96.4,0.2
96.6,0.2
96.8,0.2
96.8,0.2
96.6,0.2
96.6,0.2
96.8,0.2
96.9,0.2
97.1,0.2
97.2,0.2
97.3,0.2
97.4,0.2
97.5,0.2
97.6,0.2
97.7,0.2
97.8,0.2
97.8,0.2
97.9,0.2
98.0,0.2
98.0,0.2
97.9,0.2
97.8,0.2
97.9,0.2
97.9,0.2
97.9,0.2
98.0,0.2
98.0,0.2
98.1,0.2
98.1,0.2
98.2,0.2
98.2,0.2
98.2,0.2
98.3,0.2
98.3,0.2
98.3,0.2
98.4,0.2
98.4,0.2
98.4,0.2
98.4,0.2
98.5,0.2
98.5,0.2
98.5,0.2
98.5,0.2
98.5,0.2
98.6,0.2
98.6,0.2
