Date,CPU Utilization,CPU Power
2024-10-24 14:03:14,0.25000,2.93176
2024-10-24 14:03:15,0.25253,3.07243
2024-10-24 14:03:16,0.25000,3.06420
2024-10-24 14:03:17,0.25253,3.11419
2024-10-24 14:03:18,0.24752,3.07713
2024-10-24 14:03:19,0.25505,3.12399
2024-10-24 14:03:20,0.25000,3.02413
2024-10-24 14:03:21,0.25253,3.09306
2024-10-24 14:03:22,0.24505,3.00551
2024-10-24 14:03:23,0.25253,3.11419
2024-10-24 14:03:24,0.25250,3.13726
2024-10-24 14:03:25,0.25000,3.06420
2024-10-24 14:03:26,0.25253,3.09306
2024-10-24 14:03:27,0.25000,3.08495
2024-10-24 14:03:28,0.25000,3.06420
2024-10-24 14:03:29,0.24752,3.03587
2024-10-24 14:03:30,0.25505,2.80086
2024-10-24 14:03:31,0.25000,2.89772
2024-10-24 14:03:32,0.25000,2.86522
